0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
00111011 000101100 0
00110011 000101011 0
00111101 000101100 1
01001111 000010110 1
01001000 001011011 1
01010100 000000101 0
01010011 010010010 1
00010001 000100010 1
00100100 000011100 0
01001110 000010011 1
01010000 001111001 1
00111001 000010001 1
00101000 000011011 0
01001011 000100100 0
01001011 001101011 1
00101110 001001011 1
00100111 000101100 1
01010001 000101010 1
01011001 001101110 1
00101001 000001000 0
00101010 000110111 1
00011010 000000110 0
00101110 000010011 1
00111110 001000110 1
00100000 000110100 1
00111001 001010111 1
00100101 000000110 1
00101011 000100111 1
01000101 000000111 1
01000011 001011101 0
01010011 001100110 0
00011110 000011100 1
01000100 001111110 1
01010101 010010011 1
01001011 000000001 1
01001001 001110001 1
00111101 001011010 1
01000001 001011100 1
01010010 000011111 1
01011000 010000110 0
00110010 000111100 1
00010111 000000100 0
01011000 001101010 0
01000100 000111110 1
00101001 001001000 0
00011111 000011010 1
01001000 001001010 0
00100111 000111111 1
00100011 000101101 1
00100111 000011101 1
00100111 000100110 1
01000101 010000010 1
01000110 000001011 0
01000000 000000101 1
00100100 000011011 1
01000011 000111100 1
00111001 001100000 1
00110111 001001000 0
01010100 001001011 1
00110110 000001111 1
00001100 000001011 0
01010001 010011101 0
01001000 001011001 0
01000110 010000111 0
00011111 000011000 0
01010011 001000000 0
00111111 000010001 0
01001001 010001001 1
00111111 001111101 0
00001110 000010111 1
01010010 000101010 1
01001101 000010111 1
01010110 001101110 1
00110000 000111000 0
01011001 001101111 1
01001100 001100000 1
00101010 000110001 1
01010110 001111011 0
01001001 000110101 1
00101000 000100000 0
01001100 010001110 1
01000100 000010010 0
00111000 000101101 0
00011111 000011000 1
01011000 000100010 1
00101111 000100001 0
00001010 000010010 0
01000000 001101100 1
00110110 000001010 1
00011101 000110110 1
00111101 000100101 0
00101111 001011100 1
01001000 001010100 0
01001100 001000010 1
00111111 000101010 1
00111110 001010111 0
00011100 000011111 0
00110010 001000001 1
01001100 000011000 0
01001010 001100011 0
00101111 000011110 1
01001101 001011100 1
00100001 001000000 1
00101000 000111111 1
00100010 000101111 0
01001101 000000101 1
01010000 001100101 0
01000000 001110101 0
01010110 001010010 1
00111100 000111101 0
01001111 001100001 1
00110111 001001110 1
00010101 000001000 0
01000010 000101000 1
01010111 010001010 0
01010010 000001011 1
00110010 001010110 1
01000010 001100101 1
01011001 000000110 0
01001110 001110011 0
01001100 001000101 1
00101011 000101100 1
01001111 001000001 1
00111011 000000101 1
01011001 001101001 1
00110001 000001011 1
00100010 000011001 1
01000011 000010001 1
00100101 000111101 1
00101001 001000010 0
01010010 001010111 1
01000100 000110011 0
01010111 000111111 0
01001111 000100101 0
01010100 001010000 0
01010111 010001111 1
01010010 000100101 0
